"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Taurean Prince",5200,"4938",22.112,"ATL"
"SF/PF","Wilson Chandler",4900,"3978",21.534,"DEN"
"PG","Goran Dragic",6700,"4092",35.816,"MIA"
"SF/PF","Justise Winslow",4100,"4787",17.364,"MIA"
"SG/SF","Dillon Brooks",4100,"5173",15.543,"MEM"
"PF/C","Serge Ibaka",5000,"4104",22.249,"TOR"
"PG","Russell Westbrook",10600,"4079",53.787,"OKC"
"PF/C","Anthony Davis",10700,"4482",54.579,"NOR"
"C","Nikola Jokic",8600,"4772",41.63,"DEN"
"C","Andre Drummond",8800,"4489",42.539,"DET"
"SG/SF","Dion Waiters",5600,"4515",34.879,"MIA"
"PF/C","Taj Gibson",5100,"4167",27.928,"MIN"
"SF/PF","Jayson Tatum",5700,"5111",31.009,"BOS"
"PG/SG","Stephen Curry",9600,"4173",59.339,"GSW"
"PG","Elfrid Payton",5700,"4699",30.153,"ORL"
"PF/C","Kristaps Porzingis",8900,"4871",40.457,"NYK"
"SG","Jimmy Butler",6800,"4363",34.001,"MIN"
"PF/C","Kevin Love",7700,"4074",34.609,"CLE"
"PG","Dennis Schroder",6600,"4595",40.755,"ATL"
"SF/PF","JaMychal Green",4300,"4581",15.976,"MEM"
"PG","Mario Chalmers",5300,"4088",27.087,"MEM"
"PG/SG","Jamal Murray",5200,"4954",25.97,"DEN"
"SG/SF","Justin Holiday",5600,"4558",24.492,"CHI"
"C","Tyler Zeller",3400,"4516",15.83,"BKN"
"C","Zaza Pachulia",3100,"3553",20.993,"GSW"
"PF/C","DeMarcus Cousins",11400,"4274",57.59,"NOR"
"PF/C","John Collins",4800,"5134",24.307,"ATL"
"PF/C","Al Horford",6900,"3998",42.354,"BOS"
"SF/PF","Tobias Harris",6500,"4412",28.66,"DET"
"SG/SF","Jeremy Lamb",5100,"4514",26.036,"CHA"
"PF/C","Noah Vonleh",3500,"4761",21.988,"POR"
"SG/SF","Kent Bazemore",5400,"4507",25.586,"ATL"
"SF/PF","Rondae Hollis-Jefferson",6200,"4810",33.464,"BKN"
"SF/PF","LeBron James",11200,"3541",51.277,"CLE"
"PG","Kyrie Irving",8300,"4379",48.749,"BOS"
"SG/SF","Tim Hardaway Jr.",6600,"4628",36.462,"NYK"
"C","Robin Lopez",4700,"4112",19.668,"CHI"
"PG/SG","Jrue Holiday",6500,"4212",32.315,"NOR"
"SF/PF","Carmelo Anthony",6900,"3510",34.06,"OKC"
"SG/SF","Josh Richardson",4500,"4788",22.458,"MIA"
"PG/SG","Spencer Dinwiddie",6600,"4760",37.852,"BKN"
"SG/SF","Pat Connaughton",3000,"4811",18.757,"POR"
"SF/PF","Marcus Morris",4900,"4407",25.392,"BOS"
"SF/PF","Omri Casspi",3600,"4209",24.977,"GSW"
"PG","Rajon Rondo",4900,"3872",20.616,"NOR"
"PG/SG","Avery Bradley",6100,"4269",26.96,"DET"
"PG/SG","Victor Oladipo",8000,"4627",40.615,"IND"
"PF","Lauri Markkanen",6400,"5227",27.855,"CHI"
"SG/SF","Bojan Bogdanovic",4500,"4709",22.92,"IND"
"SG/SF","Stanley Johnson",3800,"4838",19.202,"DET"
"SG/SF","Denzel Valentine",5400,"4901",21.025,"CHI"
"SG/SF","DeMar DeRozan",8400,"4211",43.93,"TOR"
"SF/PF","Andrew Wiggins",6300,"4704",25.502,"MIN"
"SG/SF","Allen Crabbe",4800,"4561",26.023,"BKN"
"PF/C","Greg Monroe",4700,"4298",22.351,"PHO"
"SF/PF","Thaddeus Young",6000,"4037",27.417,"IND"
"SG","Klay Thompson",7100,"4367",47.387,"GSW"
"PG","Kyle Lowry",8100,"3891",35.246,"TOR"
"PF/C","Jordan Bell",3000,"5125",24.759,"GSW"
"C","Nikola Vucevic",6600,"4373",35.045,"ORL"
"SG/SF","Courtney Lee",4600,"4110",27.365,"NYK"
"SF/PF","OG Anunoby",3700,"5241",20.503,"TOR"
"SG/SF","E'Twaun Moore",3700,"4364",21.999,"NOR"
"PF/C","Kenneth Faried",3800,"4456",17.949,"DEN"
"C","Marc Gasol",7900,"3990",36.148,"MEM"
"SG","Gary Harris",5100,"4678",26.915,"DEN"
"C","Dewayne Dedmon",5100,"4572",27.823,"ATL"
"PG","Darren Collison",6000,"4228",34.151,"IND"
"SF","Paul George",8500,"4283",39.887,"OKC"
"PF/C","Kyle O'Quinn",3500,"4529",19.064,"NYK"
"SG/SF","Jaylen Brown",6500,"5017",34.725,"BOS"
"SF/PF","Jae Crowder",3800,"4472",15.873,"CLE"
"PG/SG","Kris Dunn",5500,"4945",22.106,"CHI"
"SF/PF","Marvin Williams",3800,"3817",19.365,"CHA"
"SF","Michael Kidd-Gilchrist",4000,"4532",19.467,"CHA"
"SF/PF","DeMarre Carroll",5600,"4203",35.122,"BKN"
"C","Steven Adams",5200,"4574",23.122,"OKC"
"C","Hassan Whiteside",8500,"4324",38.202,"MIA"
"SG/SF","Evan Fournier",5900,"4468",27.978,"ORL"
"C","Myles Turner",6700,"4781",30.379,"IND"
"PG","Tyler Ulis",4100,"4950",15.842,"PHO"
"SG/SF","Andre Roberson",3300,"4559",16.644,"OKC"
"C","Karl-Anthony Towns",8700,"4879",38.882,"MIN"
"PG","Reggie Jackson",6000,"4369",26.03,"DET"
"SG/SF","Terrence Ross",3700,"4549",17.618,"ORL"
"SF/PF","Aaron Gordon",6500,"4705",35.704,"ORL"
"C","Tyson Chandler",4400,"3307",17.606,"PHO"
"PG/SG","Aaron Brooks",3000,"3976",14.325,"MIN"
"SG/SF","Devin Booker",7800,"4885",33.875,"PHO"
"PG","Damian Lillard",8800,"4523",49.857,"POR"
"C","Dwight Howard",7000,"3639",32.846,"CHA"
"C","Jonas Valanciunas",4800,"4497",22.081,"TOR"
"PG","Kemba Walker",8200,"4440",37.704,"CHA"
"C","Jusuf Nurkic",6500,"4681",40.641,"POR"
"PG","Jarrett Jack",3800,"3766",16.397,"NYK"
"SF/PF","Chandler Parsons",4000,"4461",19.348,"MEM"
"PG","Jose Calderon",3000,"3740",11.846,"CLE"
